Gene,GC,AU,Length,Polar%,Non-Polar%
YAL001C   ,37.1      ,35.3      ,3573      ,27.6      ,72.4
YAL002W   ,36.5      ,32.2      ,3531      ,31.3      ,68.7
YAL003W   ,39.2      ,29.7      ,987       ,31.1      ,68.9
YAL005C   ,43.9      ,29.1      ,1929      ,27.0      ,73.0
YAL008W   ,38.9      ,28.1      ,597       ,33.0      ,67.0
YAL009W   ,41.4      ,30.4      ,780       ,28.2      ,71.8
YAL010C   ,36.8      ,34.3      ,1482      ,28.9      ,71.1
YAL011W   ,41.7      ,37.9      ,1917      ,20.4      ,79.6
YAL012W   ,48.7      ,26.3      ,1185      ,25.0      ,75.0
YAL013W   ,51.1      ,33.4      ,1089      ,15.5      ,84.5
YAL016W   ,38.3      ,30.6      ,1908      ,31.1      ,68.9
YAL017W   ,38.9      ,32.8      ,4071      ,28.3      ,71.7
YAL018C   ,37.8      ,27.5      ,978       ,34.7      ,65.3
YAL019W   ,40.6      ,35.0      ,3396      ,24.4      ,75.6
YAL020C   ,55.2      ,24.2      ,1002      ,20.7      ,79.3
YAL021C   ,45.7      ,31.7      ,2514      ,22.7      ,77.3
YAL022C   ,45.8      ,26.2      ,1554      ,28.0      ,72.0
YAL023C   ,44.5      ,26.3      ,2277      ,29.2      ,70.8
YAL024C   ,37.1      ,36.7      ,4308      ,26.2      ,73.8
YAL025C   ,42.2      ,37.7      ,921       ,20.1      ,79.9
YAL026C   ,37.6      ,31.7      ,4068      ,30.7      ,69.3
YAL027W   ,38.4      ,35.4      ,786       ,26.2      ,73.8
YAL028W   ,42.5      ,31.1      ,1587      ,26.3      ,73.7
YAL031C   ,40.1      ,33.1      ,2283      ,26.9      ,73.1
YAL032C   ,45.3      ,34.5      ,1140      ,20.3      ,79.7
YAL033W   ,41.6      ,32.2      ,522       ,26.2      ,73.8
YAL034C   ,42.5      ,31.8      ,1392      ,25.7      ,74.3
YAL034W   ,38.5      ,36.4      ,870       ,25.1      ,74.9
YAL035W   ,41.3      ,35.1      ,3009      ,23.6      ,76.4
YAL036C   ,43.7      ,28.8      ,1110      ,27.5      ,72.5
YAL037W   ,39.2      ,32.7      ,804       ,28.1      ,71.9
YAL038W   ,46.2      ,27.7      ,1503      ,26.1      ,73.9
